Group,tree,tlp,position,canopy
High Exposed,2,-2.368,high,exposed
High Exposed,4,-1.91,high,exposed
High Exposed,5,-1.921,high,exposed
Low Closed Canopy,6,-0.902,low,closed
Low Closed Canopy,7,-1.662,low,closed
Low Closed Canopy,10,-1.423,low,closed
High Closed Canopy,11,-1.448,high,closed
High Closed Canopy,12,-1.473,high,closed
High Closed Canopy,13,-2.49,high,closed
